student_id,skill_id,skill_name,proficiency,source
ST0001,SK040,Business Strategy,beginner,resume_parse_mock
ST0001,SK029,Excel Modeling,intermediate,resume_parse_mock
ST0001,SK023,MATLAB,advanced,resume_parse_mock
ST0001,SK038,Market Sizing,intermediate,resume_parse_mock
ST0001,SK053,Project Management,beginner,resume_parse_mock
ST0001,SK014,Spark / Databricks,intermediate,resume_parse_mock
ST0001,SK017,Tableau / Power BI,beginner,resume_parse_mock
ST0002,SK040,Business Strategy,advanced,resume_parse_mock
ST0002,SK039,Case Interviewing,beginner,resume_parse_mock
ST0002,SK008,Cloud (AWS/Azure/GCP),beginner,resume_parse_mock
ST0002,SK029,Excel Modeling,intermediate,resume_parse_mock
ST0002,SK038,Market Sizing,beginner,resume_parse_mock
ST0002,SK047,Public Speaking,advanced,resume_parse_mock
ST0002,SK001,Python,intermediate,resume_parse_mock
ST0002,SK042,Supply Chain Analytics,beginner,resume_parse_mock
ST0003,SK008,Cloud (AWS/Azure/GCP),intermediate,resume_parse_mock
ST0003,SK013,LLMs & AI Agents,intermediate,resume_parse_mock
ST0003,SK050,Leadership,intermediate,resume_parse_mock
ST0003,SK019,Penetration Testing,beginner,resume_parse_mock
ST0003,SK051,Teamwork,beginner,resume_parse_mock
ST0004,SK052,Behavioral Interviewing,beginner,resume_parse_mock
ST0004,SK012,Deep Learning,intermediate,resume_parse_mock
ST0004,SK002,Java,beginner,resume_parse_mock
ST0004,SK011,Machine Learning,beginner,resume_parse_mock
ST0004,SK047,Public Speaking,beginner,resume_parse_mock
ST0004,SK028,User Research,beginner,resume_parse_mock
ST0005,SK032,Accounting Fundamentals,advanced,resume_parse_mock
ST0005,SK037,Auditing,advanced,resume_parse_mock
ST0005,SK031,DCF Valuation,beginner,resume_parse_mock
ST0005,SK036,Financial Statement Analysis,beginner,resume_parse_mock
ST0005,SK033,LBO Modeling,advanced,resume_parse_mock
ST0005,SK050,Leadership,advanced,resume_parse_mock
ST0006,SK040,Business Strategy,advanced,resume_parse_mock
ST0006,SK022,CAD (SolidWorks),intermediate,resume_parse_mock
ST0006,SK039,Case Interviewing,intermediate,resume_parse_mock
ST0006,SK029,Excel Modeling,intermediate,resume_parse_mock
ST0006,SK038,Market Sizing,intermediate,resume_parse_mock
ST0006,SK053,Project Management,beginner,resume_parse_mock
ST0006,SK025,Structural Analysis,advanced,resume_parse_mock
ST0006,SK017,Tableau / Power BI,intermediate,resume_parse_mock
ST0006,SK049,Technical Writing,intermediate,resume_parse_mock
ST0007,SK032,Accounting Fundamentals,beginner,resume_parse_mock
ST0007,SK052,Behavioral Interviewing,intermediate,resume_parse_mock
ST0007,SK040,Business Strategy,advanced,resume_parse_mock
ST0007,SK034,M&A Concepts,advanced,resume_parse_mock
